"LAT","LON","ship_type","SHIPNAME","DATETIME","DIFFERENCE","ID","ship_type_and_name","DISTANCE","TIME","TYPE"
59.91674,30.02597,"Cargo","BELBEK",2016-12-15 10:07:04,119,263459,"Cargo BELBEK",1273.46590947794,121,"arrival"
54.38212,18.65497,"Cargo","BELIZIA",2016-12-13 13:33:02,120,265020,"Cargo BELIZIA",NA,NA,"departure"
54.382,18.655,"Cargo","BELIZIA",2016-12-13 13:31:02,120,265021,"Cargo BELIZIA",13.4991796273842,120,"arrival"
59.90683,30.07483,"Cargo","BF CARTAGENA",2016-12-15 17:39:04,119,270289,"Cargo BF CARTAGENA",NA,NA,"departure"
59.90217,30.09717,"Cargo","BF CARTAGENA",2016-12-15 17:37:05,118,270290,"Cargo BF CARTAGENA",1350.62060833795,119,"arrival"
59.8981,30.11638,"Cargo","BF FORTALEZA",2016-12-19 14:49:04,119,272133,"Cargo BF FORTALEZA",NA,NA,"departure"
59.90128,30.1009,"Cargo","BF FORTALEZA",2016-12-19 14:47:04,119,272134,"Cargo BF FORTALEZA",933.914734458693,120,"arrival"
55.731,20.8115,"Cargo","BF VICTORIA",2016-12-16 20:51:06,120,272147,"Cargo BF VICTORIA",NA,NA,"departure"
55.73117,20.83533,"Cargo","BF VICTORIA",2016-12-16 20:49:06,120,272148,"Cargo BF VICTORIA",1493.8207647946,120,"arrival"
57.67889,11.81503,"Cargo","BIRTHE BRES",2016-12-14 19:57:08,117,280060,"Cargo BIRTHE BRES",NA,NA,"departure"
57.66332,11.77958,"Cargo","BIRTHE BRES",2016-12-14 19:55:05,120,280061,"Cargo BIRTHE BRES",2730.90748320524,123,"arrival"
55.71579,21.10976,"Cargo","BIRYUZA",2016-12-17 23:41:06,121,281802,"Cargo BIRYUZA",NA,NA,"departure"
55.72635,21.08929,"Cargo","BIRYUZA",2016-12-17 23:31:06,600,281803,"Cargo BIRYUZA",1740.41571409746,600,"arrival"
55.73779,20.82914,"Cargo","BLUE CHIP",2016-12-15 16:41:07,119,296519,"Cargo BLUE CHIP",NA,NA,"departure"
55.73701,20.85337,"Cargo","BLUE CHIP",2016-12-15 16:39:06,121,296520,"Cargo BLUE CHIP",1521.00822864841,121,"arrival"
59.90188,30.09837,"Cargo","BLUEBILL",2016-12-18 16:59:05,118,299102,"Cargo BLUEBILL",NA,NA,"departure"
